id,symbol,name,current_price,market_cap,total_volume,circulating_supply,price_change_percentage_24h_in_currency,volatility_score,speculation_score,liquidity_score,shariah_risk_score,classification
ondo-us-dollar-yield,usdy,Ondo US Dollar Yield,1.12,1359419970,865741.0,1213610189.567781,-0.3560399237488046,3.1723092932144114e-07,0.0016628401277474733,3.1723092932144114e-07,0.0004990740999747669,halal_candidate
internet-computer,icp,Internet Computer,2.45,1353218348,39947742.0,551832124.5813165,-1.2728923431676804,3.219230020688312e-05,0.07707978863487028,3.219230020688312e-05,0.023146471200605902,halal_candidate
bitget-token,bgb,Bitget Token,1.89,1326787303,19311209.0,699992035.9787906,-1.0208061857160908,1.226826411720591e-05,0.038003562842257775,1.226826411720591e-05,0.011409656637559376,halal_candidate
bfusd,bfusd,BFUSD,0.999749,1319669177,2149178.0,1320000000.0,-0.003614611519638,7.240444139785342e-07,0.004252295819727045,7.240444139785342e-07,0.0012761955770078984,halal_candidate
ethereum-classic,etc,Ethereum Classic,8.42,1315507245,37823411.0,156313990.5888689,-1.141320342155957,0.00010760429123255211,0.07507297112426617,0.00010760429123255211,0.022597214341142632,halal_candidate
ondo-finance,ondo,Ondo,0.254772,1239946178,55227665.0,4869330647.0,-1.3513202411902543,5.043757158240979e-06,0.11629739956954363,5.043757158240979e-06,0.034892750500873856,halal_candidate
kucoin-shares,kcs,KuCoin,8.47,1140436895,17339471.0,134655021.7355671,-1.0958600132766412,5.7263783446717234e-05,0.03969910729884511,5.7263783446717234e-05,0.011949816838066235,halal_candidate
gatechain-token,gt,Gate,6.98,1133103428,3925531.0,115180573.04885802,1.8782644826631432,1.5156046365890602e-05,0.009045759026904524,1.5156046365890602e-05,0.0027243369405274805,halal_candidate
pump-fun,pump,Pump.fun,0.00188636,1111118874,59294159.0,590000000000.0,-2.3038166912332136,4.469167732895009e-08,0.1393373495315671,4.469167732895009e-08,0.04180123614364426,halal_candidate
quant-network,qnt,Quant,74.03,1076112906,10105671.0,14544176.164081177,-2.0597224233808555,0.0003089888099516833,0.02452016970182943,0.0003089888099516833,0.007572343077515007,halal_candidate
algorand,algo,Algorand,0.110994,987979324,46380128.0,8903474673.9374,0.0586448254797906,2.3165366079321522e-06,0.12257453184180271,2.3165366079321522e-06,0.03677398112816636,halal_candidate
render-token,render,Render,1.89,979153964,93576398.0,518743261.0140742,-0.5937749069769469,8.021962138927779e-05,0.24953501442752574,8.021962138927779e-05,0.07491665806323021,halal_candidate
morpho,morpho,Morpho,1.79,977388604,10907489.0,547562964.6775967,-0.4671871186511307,8.85844451297175e-06,0.02913893461537825,8.85844451297175e-06,0.008747881295772555,halal_candidate
